player_id,player_name,team,position,position_group,season_prior,season_next,opportunities_prior,actual_td_prior,xtd_prior,regression_signal_efficiency,prior_group_share,team_group_xtd_pool_prior,vacated_opportunity_share_gained,stolen_opportunity_share_lost,net_opportunity_share_change,regression_signal_opportunity,combined_signal,projected_td_next_season,regression_label,vegas_player_name,vegas_market,vegas_td_line,vegas_diff
00-0040236,Kyle Monangai,CHI,RB,RB,2025,2026,199,5,8.632469507864926,3.6324695078649256,0.46179076547444653,18.69346499165239,0.00021387949885246155,0.0,0.00021387949885246155,0.003998148924230648,3.636467656789156,8.636467656789156,Strong Positive (Buy),Kyle Monangai,rush_only,4.5,4.136467656789156
00-0033090,Hunter Henry,NE,TE,TE,2025,2026,87,7,7.258539372220361,0.25853937222036105,0.7843487966895897,9.254223889748591,0.2156512033104104,0.13401066006223777,0.08164054324817263,0.7555198656992922,1.0140592379196534,8.014059237919653,Neutral,Hunter Henry,rec_only,4.0,4.014059237919653
00-0040128,Tyler Warren,IND,TE,TE,2025,2026,118,5,9.001188989136711,4.001188989136711,0.8018513673505417,11.225508062520646,0.0,0.0,0.0,0.0,4.001188989136711,9.001188989136711,Strong Positive (Buy),Tyler Warren,rec_only,5.0,4.001188989136711
00-0040734,TreVeyon Henderson,NE,RB,RB,2025,2026,222,10,8.81674089586067,-1.1832591041393297,0.442349715969289,19.93160745348549,0.04126464864776353,0.013799337484563324,0.02746531116320021,0.5474278006927396,-0.6358313034465901,9.36416869655341,Negative,TreVeyon Henderson,rush_only,5.5,3.86416869655341
00-0038041,Jake Ferguson,DAL,TE,TE,2025,2026,103,8,8.261900403440293,0.2619004034402934,0.8385250245549128,9.852896647688828,0.0,0.0,0.0,0.0,0.2619004034402934,8.261900403440293,Neutral,Jake Ferguson,rec_only,4.5,3.7619004034402934
00-0031381,Davante Adams,LA,WR,WR,2025,2026,114,14,12.61201441202637,-1.3879855879736294,0.5280767976068282,23.882917161258163,0.0055741755927449285,0.0,0.0055741755927449285,0.13312757392383426,-1.2548580140497951,12.745141985950205,Negative,Davante Adams,rec_only,9.0,3.7451419859502053
00-0039919,Rome Odunze,CHI,WR,WR,2025,2026,90,6,5.12928550863311,-0.8707144913668898,0.2950992015986019,17.381563490673337,0.3562450724338607,0.06270243937762346,0.2935426330562373,5.102229913686414,4.231515422319524,10.231515422319525,Strong Positive (Buy),Rome Odunze,rec_only,6.5,3.731515422319525
00-0040719,Bhayshul Tuten,JAX,RB,RB,2025,2026,97,7,5.23413861613402,-1.76586138386598,0.27350593293511527,19.13720320420154,0.5335639751289812,0.3353116549120277,0.19825232021695355,3.793994937696273,2.028133553830293,9.028133553830294,Positive,Bhayshul Tuten,rush_only,5.5,3.528133553830294
00-0036275,D'Andre Swift,CHI,RB,RB,2025,2026,271,10,10.021357753996972,0.021357753996971596,0.5360888288218386,18.69346499165239,0.00024829082480897424,0.0,0.00024829082480897424,0.004641415841315057,0.02599916983828665,10.025999169838286,Neutral,D'Andre Swift,rush_only,6.5,3.525999169838286
00-0038997,Josh Downs,IND,WR,WR,2025,2026,90,4,4.4458677252256615,0.44586772522566154,0.32150113076560066,13.82846683816812,0.23339688612810647,0.02984391483617667,0.20355297129192979,2.8148255133210385,3.2606932385467,7.2606932385467005,Positive,Josh Downs,rec_only,4.0,3.2606932385467005
00-0039915,Ladd McConkey,LAC,WR,WR,2025,2026,106,6,5.871887151485897,-0.1281128485141032,0.3169922476550008,18.523756321878817,0.1517499431761968,0.0,0.1517499431761968,2.810978969254827,2.682866120740724,8.682866120740723,Positive,Ladd McConkey,rec_only,5.5,3.182866120740723
00-0039139,Jahmyr Gibbs,DET,RB,RB,2025,2026,337,18,12.624632597363313,-5.375367402636687,0.5474294589351435,23.061660989017053,0.4520127891119699,0.19479451452006058,0.2572182745919093,5.931880648818511,0.5565132461818241,18.556513246181822,Neutral,Jahmyr Gibbs,rush_rec,15.5,3.0565132461818223
00-0034960,Jakobi Meyers,JAX,WR,WR,2025,2026,115,3,5.385124544824807,2.385124544824807,0.2550973682447707,21.110074877988076,0.0883248691063876,0.0,0.0883248691063876,1.8645446004243378,4.249669145249145,7.249669145249145,Strong Positive (Buy),Jakobi Meyers,rec_only,4.5,2.749669145249145
00-0037840,Kyren Williams,LA,RB,RB,2025,2026,309,13,15.20213086215314,2.2021308621531404,0.6548705626817858,23.213947501164668,0.0,0.0,0.0,0.0,2.2021308621531404,15.20213086215314,Positive,Kyren Williams,rush_rec,12.5,2.7021308621531404
00-0039738,Blake Corum,LA,RB,RB,2025,2026,159,6,7.982824014755145,1.9828240147551446,0.3438805060774191,23.213947501164668,0.0,0.0,0.0,0.0,1.9828240147551446,7.982824014755145,Positive,Blake Corum,rush_only,5.5,2.4828240147551446
00-0038559,Michael Wilson,ARI,WR,WR,2025,2026,126,7,5.236810670000966,-1.763189329999034,0.3978419187733051,13.163043970198025,0.140321138478478,0.0901304051338915,0.050190733344586486,0.6606628299112761,-1.102526500087758,5.897473499912242,Negative,Michael Wilson,rec_only,3.5,2.397473499912242
00-0040663,Harold Fannin Jr.,CLE,TE,TE,2025,2026,114,7,4.69942857651018,-2.30057142348982,0.5886815689458741,7.982972160866592,0.30620247311301735,0.08478831290407222,0.2214141602089451,1.7675430769696643,-0.5330283465201555,6.4669716534798445,Negative,Harold Fannin,rec_only,4.5,1.9669716534798445
00-0036554,Nico Collins,HOU,WR,WR,2025,2026,122,7,7.079729911687185,0.0797299116871848,0.3778173885227936,18.738496762596903,0.07389343467335506,0.0,0.07389343467335506,1.3846518864038295,1.4643817980910143,8.464381798091015,Neutral,Nico Collins,rec_only,6.5,1.964381798091015
00-0036894,Pat Freiermuth,PIT,TE,TE,2025,2026,54,4,2.8479180919827787,-1.1520819080172213,0.2525295441958832,11.277563981874902,0.23625637415481876,0.006182122892311507,0.23007425126250725,2.594677089194888,1.4425951811776665,5.4425951811776665,Neutral,Pat Freiermuth,rec_only,3.5,1.9425951811776665
00-0037525,Jordan Mason,MIN,RB,RB,2025,2026,175,6,5.279418295339645,-0.7205817046603551,0.4202550331620886,12.562415387666327,0.0921680004214269,0.0,0.0921680004214269,1.1578527067445696,0.43727100208421454,6.4372710020842145,Neutral,Jordan Mason,rush_only,4.5,1.9372710020842145
00-0038597,Chase Brown,CIN,RB,RB,2025,2026,320,11,11.930916724209675,0.9309167242096752,0.7524460933602348,15.85617472067561,0.0,0.0,0.0,0.0,0.9309167242096752,11.930916724209675,Neutral,Chase Brown,rush_rec,10.0,1.9309167242096752
00-0038606,Parker Washington,JAX,WR,WR,2025,2026,102,5,4.603118303323012,-0.3968816966769877,0.21805314902614495,21.110074877988076,0.07549868498639317,0.0,0.07549868498639317,1.593782893252394,1.1969011965754064,6.196901196575406,Neutral,Parker Washington,rec_only,4.5,1.6969011965754062
00-0038544,Quentin Johnston,LAC,WR,WR,2025,2026,86,8,4.631135884544259,-3.3688641154557413,0.2500106244150017,18.523756321878817,0.11968462424265054,0.0,0.11968462424265054,2.217008814946489,-1.1518553005092524,6.8481446994907476,Negative,Quentin Johnston,rec_only,5.5,1.3481446994907476
00-0036875,Rhamondre Stevenson,NE,RB,RB,2025,2026,167,9,8.187707357383053,-0.8122926426169474,0.41079011697830964,19.93160745348549,0.03832060750381603,0.012814818807073669,0.02550578869674236,0.508371368095016,-0.3039212745219314,8.696078725478069,Negative,Rhamondre Stevenson,rush_rec,7.5,1.1960787254780687
00-0034351,Dallas Goedert,PHI,TE,TE,2025,2026,82,11,6.320721643065482,-4.679278356934518,0.8407675785116829,7.517798978707469,0.03833492499449717,0.12162987735698864,-0.08329495236249147,-0.6261947078022256,-5.305473064736744,5.694526935263256,Strong Negative (Sell),Dallas Goedert,rec_only,4.5,1.194526935263256
00-0040584,Gunnar Helm,TEN,TE,TE,2025,2026,55,2,2.6702376426659815,0.6702376426659815,0.45556011099171706,5.861438651538417,0.3501156981163992,0.18486118379954988,0.16525451431684932,0.9686291975579893,1.6388668402239708,3.6388668402239706,Positive,Gunnar Helm,rec_only,2.5,1.1388668402239706
00-0030506,Travis Kelce,KC,TE,TE,2025,2026,109,5,5.556094664728758,0.5560946647287581,0.804786846792415,6.903808986035635,0.010309266598827537,0.0,0.010309266598827537,0.07117320738442258,0.6272678721131807,5.627267872113181,Neutral,Travis Kelce,rec_only,4.5,1.1272678721131806
00-0034383,Dalton Schultz,HOU,TE,TE,2025,2026,106,3,4.771668025545798,1.7716680255457984,0.7916430811138144,6.027549711963915,0.02205643240996489,0.050024078443192115,-0.027967646033227225,-0.1685763767918875,1.6030916487539109,4.603091648753911,Positive,Dalton Schultz,rec_only,3.5,1.103091648753911
00-0035640,DK Metcalf,PIT,WR,WR,2025,2026,101,7,5.909998030323902,-1.0900019696760976,0.4978958385931948,11.869948636290289,0.34048747864951895,0.29343416103494974,0.04705331761456921,0.5585204632519897,-0.531481506424108,6.468518493575892,Negative,DK Metcalf,rec_only,5.5,0.9685184935758917
00-0038563,Tre Tucker,LV,WR,WR,2025,2026,103,5,4.082950294530769,-0.917049705469231,0.5350124327203308,7.631505447024006,0.14997065401901302,0.18243754854989977,-0.03246689453088675,-0.24777128246041613,-1.1648209879296472,3.835179012070353,Negative,Tre Tucker,rec_only,3.0,0.8351790120703528
00-0036963,Amon-Ra St. Brown,DET,WR,WR,2025,2026,175,11,12.622041527610186,1.622041527610186,0.6097293232703701,20.701057085314623,0.028781479649614555,0.1419389463596573,-0.11315746671004273,-2.342479177994184,-0.7204376503839978,10.279562349616002,Negative,Amon-Ra St. Brown,rec_only,9.5,0.7795623496160022
00-0035229,T.J. Hockenson,MIN,TE,TE,2025,2026,67,3,3.549770891656401,0.5497708916564008,0.6501508618899077,5.459918766142459,0.03092213748641359,0.0,0.03092213748641359,0.16883235875130675,0.7186032504077076,3.718603250407708,Neutral,T.J. Hockenson,rec_only,3.0,0.7186032504077078
00-0034844,Saquon Barkley,PHI,RB,RB,2025,2026,330,9,10.842524812231636,1.8425248122316358,0.6894445829180526,15.726463128248815,0.020706870746423887,0.0038573405772904094,0.016849530169133476,0.2649835149331936,2.1075083271648296,11.10750832716483,Positive,Saquon Barkley,rush_rec,10.5,0.6075083271648296
00-0037248,James Cook,BUF,RB,RB,2025,2026,349,14,12.709329618496277,-1.2906703815037233,0.5763927669369322,22.049772910989542,0.016929723093725087,0.0,0.016929723093725087,0.37329654966257353,-0.9173738318411497,13.08262616815885,Negative,James Cook III,rush_rec,12.5,0.5826261681588498
00-0038935,Brenton Strange,JAX,TE,TE,2025,2026,60,3,3.1277482827336627,0.12774828273366268,0.5045841975333247,6.198664758079535,0.06737624387433395,0.0,0.06737624387433395,0.41764274843560606,0.5453910311692687,3.545391031169269,Neutral,Brenton Strange,rec_only,3.0,0.5453910311692689
00-0037239,Chris Olave,NO,WR,WR,2025,2026,157,9,5.795581410813392,-3.2044185891866084,0.5826225450183883,9.947403272268629,0.021711603893234715,0.0,0.021711603893234715,0.2159740796137633,-2.988444509572845,6.011555490427155,Strong Negative (Sell),Chris Olave,rec_only,5.5,0.5115554904271553
00-0036912,DeVonta Smith,PHI,WR,WR,2025,2026,113,4,3.9704661677490756,-0.02953383225092443,0.3794108715854477,10.46481918443099,0.5248654710717705,0.3317955729412963,0.1930698981304742,2.0204415738919232,1.9909077416409988,5.990907741640999,Positive,Devonta Smith,rec_only,5.5,0.49090774164099926
00-0037261,Khalil Shakir,BUF,WR,WR,2025,2026,96,4,4.059262357083755,0.059262357083754935,0.28825912568084283,14.081990804267281,0.11567432329784848,0.12310985358746337,-0.007435530289614897,-0.10470706916320782,-0.04544471207945289,3.954555287920547,Neutral,Khalil Shakir,rec_only,3.5,0.454555287920547
00-0040122,Ashton Jeanty,LV,RB,RB,2025,2026,339,10,9.992966567465553,-0.007033432534447215,0.9082625387922975,11.002288590205476,0.08723816891878199,0.0,0.08723816891878199,0.959819510525533,0.9527860779910858,10.952786077991085,Neutral,Ashton Jeanty,rush_rec,10.5,0.4527860779910853
00-0040130,Jayden Higgins,HOU,WR,WR,2025,2026,68,6,3.280686671784324,-2.719313328215676,0.1750773668426146,18.738496762596903,0.03424158962124442,0.0,0.03424158962124442,0.6416359162638603,-2.0776774119518158,3.9223225880481842,Strong Negative (Sell),Jayden Higgins,rec_only,3.5,0.42232258804818423
00-0039893,Brian Thomas Jr.,JAX,WR,WR,2025,2026,94,3,3.6340693242048188,0.6340693242048188,0.1721485757492097,21.110074877988076,0.05960469339421218,0.0,0.05960469339421218,1.2582595406313404,1.8923288648361591,4.892328864836159,Positive,Brian Thomas,rec_only,4.5,0.39232886483615914
00-0037247,George Pickens,DAL,WR,WR,2025,2026,137,9,8.389288606474352,-0.6107113935256478,0.3963317841403479,21.167337423292704,0.033208897157471065,0.08731660724883211,-0.05410771009136105,-1.145316156705539,-1.7560275502311868,7.243972449768814,Negative,George Pickens,rec_only,7.0,0.2439724497688136
00-0039075,Puka Nacua,LA,WR,WR,2025,2026,176,11,8.103929729462346,-2.8960702705376544,0.3393190904923537,23.882917161258163,0.003581721827102727,0.0,0.003581721827102727,0.08554196569136466,-2.8105283048462897,8.18947169515371,Strong Negative (Sell),Puka Nacua,rec_only,8.0,0.18947169515370987
00-0040126,Colston Loveland,CHI,TE,TE,2025,2026,83,6,5.543689720614842,-0.4563102793851579,0.7377619248659574,7.514198732364869,0.016164796980963084,0.0,0.016164796980963084,0.12146549698328826,-0.33484478240186966,5.66515521759813,Negative,Colston Loveland,rec_only,5.5,0.16515521759813012
00-0036407,Jerry Jeudy,CLE,WR,WR,2025,2026,107,2,3.748776222196564,1.7487762221965641,0.41652048975466527,9.000220431903916,0.0,0.024220706370165854,-0.024220706370165854,-0.21799169634791205,1.530784525848652,3.5307845258486523,Positive,Jerry Jeudy,rec_only,3.5,0.030784525848652322
00-0040129,Emeka Egbuka,TB,WR,WR,2025,2026,129,6,4.693192783841032,-1.306807216158968,0.282786677307745,16.596230163748576,0.17071254704345307,0.06755063672764974,0.10316191031580332,1.7120988077330606,0.40529159157409245,6.405291591574093,Neutral,Emeka Egbuka,rec_only,6.5,-0.09470840842590711
00-0037545,Rashid Shaheed,SEA,WR,WR,2025,2026,101,2,3.377779452138366,1.3777794521383662,0.21335007864853364,15.83209846246561,0.0006931701982074783,0.0,0.0006931701982074783,0.0109743388292676,1.3887537909676337,3.388753790967634,Neutral,Rashid Shaheed,rec_only,3.5,-0.11124620903236604
