player_id,player_name,team,position,position_group,season_prior,season_next,opportunities_prior,actual_td_prior,xtd_prior,regression_signal_efficiency,prior_group_share,team_group_xtd_pool_prior,vacated_opportunity_share_gained,stolen_opportunity_share_lost,net_opportunity_share_change,regression_signal_opportunity,combined_signal,projected_td_next_season,regression_label
00-0040667,Matthew Golden,GB,WR,WR,2025,2026,54,0,1.1903725671941257,1.1903725671941257,0.08972220019371006,13.267313603813921,0.11772910356828759,0.0018326045614399378,0.11589649900684765,1.5376351979079563,2.728007765102082,2.728007765102082,Positive
00-0039915,Ladd McConkey,LAC,WR,WR,2025,2026,106,6,5.871887151485897,-0.1281128485141032,0.3169922476550008,18.523756321878817,0.1517499431761968,0.0,0.1517499431761968,2.810978969254827,2.682866120740724,8.682866120740723,Positive
00-0032764,Derrick Henry,BAL,RB,RB,2025,2026,328,16,17.212467691687117,1.2124676916871167,0.8482134761440152,20.29261285724335,0.0660135802995645,0.0,0.0660135802995645,1.3395880283396089,2.5520557200267255,18.552055720026726,Positive
00-0036358,CeeDee Lamb,DAL,WR,WR,2025,2026,118,3,6.391200525330814,3.391200525330814,0.3019369133454587,21.167337423292704,0.02529948973202427,0.06652029418658506,-0.04122080445456079,-0.8725346767492552,2.5186658485815587,5.518665848581559,Positive
00-0035250,Devin Singletary,NYG,RB,RB,2025,2026,138,5,7.518257558101971,2.518257558101971,0.3985071136817268,18.86605608778801,0.0,0.00034736680799640914,-0.00034736680799640914,-0.006553441682696144,2.511704116419275,7.511704116419275,Positive
00-0032775,Demarcus Robinson,SF,WR,WR,2025,2026,36,1,1.5683069314730858,0.5683069314730858,0.13948224927099107,11.24377431300325,0.35442001821336855,0.18628867353498302,0.16813134467838553,1.8904308945055268,2.458737825978613,3.458737825978613,Positive
00-0037157,Bam Knight,ARI,RB,RB,2025,2026,113,5,7.059497097415324,2.059497097415324,0.391360400475689,18.038353110929666,0.2330981656417853,0.218560498141116,0.014537667500669288,0.262235579786359,2.321732677201683,7.321732677201683,Positive
00-0037840,Kyren Williams,LA,RB,RB,2025,2026,309,13,15.20213086215314,2.2021308621531404,0.6548705626817858,23.213947501164668,0.0,0.0,0.0,0.0,2.2021308621531404,15.20213086215314,Positive
00-0038555,Tank Bigsby,PHI,RB,RB,2025,2026,67,2,4.031308567268105,2.0313085672681046,0.2563391739384062,15.726463128248815,0.00769892500934851,0.0014341798045561637,0.006264745204792347,0.09852228447104042,2.129830851739145,4.129830851739145,Positive
00-0034844,Saquon Barkley,PHI,RB,RB,2025,2026,330,9,10.842524812231636,1.8425248122316358,0.6894445829180526,15.726463128248815,0.020706870746423887,0.0038573405772904094,0.016849530169133476,0.2649835149331936,2.1075083271648296,11.10750832716483,Positive
